,step,train_error,validation_error
316,15800,0.0,0.0859375
317,15850,0.0078125,0.078125
318,15900,0.0,0.0703125
319,15950,0.0078125,0.09375
320,16000,0.0,0.1328125
321,16050,0.0,0.0703125
322,16100,0.0078125,0.0703125
323,16150,0.0,0.09375
324,16200,0.0078125,0.1328125
325,16250,0.0,0.125
326,16300,0.0078125,0.0859375
327,16350,0.0078125,0.0703125
328,16400,0.0078125,0.0703125
329,16450,0.0078125,0.15625
330,16500,0.0,0.0859375
331,16550,0.0078125,0.078125
332,16600,0.0,0.1015625
333,16650,0.0,0.1015625
334,16700,0.0,0.0859375
335,16750,0.0,0.0859375
336,16800,0.0,0.1171875
337,16850,0.0,0.1328125
338,16900,0.0078125,0.109375
339,16950,0.0,0.109375
340,17000,0.0,0.09375
341,17050,0.0,0.1328125
342,17100,0.0,0.1171875
343,17150,0.0,0.078125
344,17200,0.0078125,0.140625
345,17250,0.0,0.1484375
346,17300,0.0,0.09375
347,17350,0.0,0.0703125
348,17400,0.0,0.109375
349,17450,0.0078125,0.125
350,17500,0.0,0.109375
351,17550,0.0078125,0.1015625
352,17600,0.0,0.1015625
353,17650,0.0,0.125
354,17700,0.0,0.1015625
355,17750,0.0,0.1484375
356,17800,0.0,0.0703125
357,17850,0.0,0.109375
358,17900,0.0,0.1015625
359,17950,0.03125,0.0703125
360,18000,0.0078125,0.1328125
361,18050,0.0,0.109375
362,18100,0.0,0.0546875
363,18150,0.0,0.078125
364,18200,0.0,0.15625
365,18250,0.0078125,0.0546875
366,18300,0.0,0.125
367,18350,0.0,0.078125
368,18400,0.0,0.1171875
369,18450,0.0,0.1015625
370,18500,0.0,0.0703125
371,18550,0.0,0.0859375
372,18600,0.0,0.109375
373,18650,0.0,0.09375
374,18700,0.0,0.078125
375,18750,0.0,0.09375
376,18800,0.0,0.09375
377,18850,0.0,0.09375
378,18900,0.015625,0.1328125
379,18950,0.0,0.0703125
380,19000,0.0078125,0.1015625
381,19050,0.0,0.1171875
382,19100,0.0,0.1015625
383,19150,0.0,0.125
384,19200,0.0,0.1015625
385,19250,0.0,0.0859375
386,19300,0.0,0.078125
387,19350,0.0,0.1171875
388,19400,0.0,0.1171875
389,19450,0.0,0.09375
390,19500,0.0,0.140625
391,19550,0.0,0.0703125
392,19600,0.0,0.0703125
393,19650,0.0,0.0859375
394,19700,0.0,0.0625
395,19750,0.0,0.1015625
396,19800,0.0,0.078125
397,19850,0.0,0.1015625
398,19900,0.0,0.109375
399,19950,0.0,0.140625
400,20000,0.015625,0.078125
401,20050,0.0,0.1484375
402,20100,0.0,0.140625
403,20150,0.0,0.140625
404,20200,0.0,0.1328125
405,20250,0.0078125,0.140625
406,20300,0.0078125,0.0546875
407,20350,0.0,0.15625
408,20400,0.0078125,0.125
409,20450,0.0,0.0625
410,20500,0.0,0.109375
411,20550,0.0,0.125
412,20600,0.0,0.09375
413,20650,0.0,0.140625
414,20700,0.0078125,0.1015625
415,20750,0.0,0.09375
416,20800,0.0,0.0859375
417,20850,0.0,0.078125
418,20900,0.0,0.09375
419,20950,0.0078125,0.1328125
420,21000,0.015625,0.09375
421,21050,0.0,0.0859375
422,21100,0.0078125,0.125
423,21150,0.0,0.0859375
424,21200,0.0078125,0.0625
425,21250,0.0,0.1640625
426,21300,0.0078125,0.0859375
427,21350,0.0078125,0.0859375
428,21400,0.0,0.1171875
429,21450,0.0,0.0859375
430,21500,0.0078125,0.1171875
431,21550,0.0,0.0859375
432,21600,0.0,0.125
433,21650,0.0,0.0703125
434,21700,0.0,0.078125
435,21750,0.0,0.1484375
436,21800,0.0,0.0859375
437,21850,0.0234375,0.078125
438,21900,0.0,0.1015625
439,21950,0.0078125,0.109375
440,22000,0.0,0.0859375
441,22050,0.0,0.078125
442,22100,0.0,0.15625
443,22150,0.0,0.125
444,22200,0.0,0.109375
445,22250,0.0,0.109375
446,22300,0.0,0.0703125
447,22350,0.0,0.0703125
448,22400,0.015625,0.09375
449,22450,0.0,0.1328125
450,22500,0.0078125,0.1015625
451,22550,0.0,0.125
452,22600,0.0,0.0859375
453,22650,0.0,0.078125
454,22700,0.0,0.1328125
455,22750,0.0078125,0.078125
456,22800,0.0,0.078125
457,22850,0.0,0.1015625
458,22900,0.0,0.1484375
459,22950,0.0,0.1015625
460,23000,0.0,0.125
461,23050,0.0078125,0.0703125
462,23100,0.0,0.1171875
463,23150,0.0,0.140625
464,23200,0.0,0.1015625
465,23250,0.0,0.0625
466,23300,0.0,0.1171875
467,23350,0.0,0.078125
468,23400,0.0,0.09375
469,23450,0.0,0.078125
470,23500,0.0,0.125
471,23550,0.0,0.078125
472,23600,0.0,0.09375
473,23650,0.0,0.09375
474,23700,0.0,0.09375
475,23750,0.0,0.109375
476,23800,0.0,0.109375
477,23850,0.0,0.0859375
478,23900,0.0,0.09375
479,23950,0.0,0.109375
480,24000,0.0,0.140625
481,24050,0.0,0.1015625
482,24100,0.0,0.1015625
483,24150,0.0,0.1171875
484,24200,0.0078125,0.1171875
485,24250,0.0,0.0859375
486,24300,0.0,0.1328125
487,24350,0.0,0.09375
488,24400,0.0,0.109375
489,24450,0.0,0.09375
490,24500,0.0,0.078125
491,24550,0.0,0.0625
492,24600,0.0,0.078125
493,24650,0.0,0.1171875
494,24700,0.0,0.0859375
495,24750,0.0,0.078125
496,24800,0.0,0.09375
497,24850,0.0,0.125
498,24900,0.0078125,0.1015625
499,24950,0.0,0.09375
500,25000,0.0,0.15625
501,25050,0.0,0.15625
502,25100,0.0,0.1171875
503,25150,0.0,0.1015625
504,25200,0.0,0.0703125
505,25250,0.0,0.0625
506,25300,0.0078125,0.0703125
507,25350,0.0,0.09375
508,25400,0.0,0.109375
509,25450,0.0,0.0859375
510,25500,0.0,0.1015625
511,25550,0.0,0.0703125
512,25600,0.0,0.078125
513,25650,0.0,0.109375
514,25700,0.0,0.078125
515,25750,0.0,0.0859375
516,25800,0.0,0.109375
517,25850,0.0,0.09375
518,25900,0.0,0.1484375
519,25950,0.0,0.078125
520,26000,0.0,0.109375
521,26050,0.0,0.0859375
522,26100,0.0,0.1171875
523,26150,0.0,0.0703125
524,26200,0.0,0.0859375
525,26250,0.0,0.109375
526,26300,0.0,0.1484375
527,26350,0.0,0.0859375
528,26400,0.0,0.1015625
529,26450,0.0,0.078125
530,26500,0.0078125,0.109375
531,26550,0.0,0.140625
532,26600,0.0,0.0859375
533,26650,0.0,0.1484375
534,26700,0.0078125,0.140625
535,26750,0.0,0.125
536,26800,0.0,0.1328125
537,26850,0.0078125,0.09375
538,26900,0.0,0.0859375
539,26950,0.0,0.0625
540,27000,0.0,0.171875
541,27050,0.0078125,0.125
542,27100,0.0,0.09375
543,27150,0.0,0.1015625
544,27200,0.0,0.1171875
545,27250,0.0,0.0859375
546,27300,0.0,0.1171875
547,27350,0.0,0.125
548,27400,0.0078125,0.09375
549,27450,0.0078125,0.1171875
550,27500,0.0,0.1015625
551,27550,0.0,0.125
552,27600,0.0078125,0.0859375
553,27650,0.0,0.109375
554,27700,0.0,0.078125
555,27750,0.0078125,0.0625
556,27800,0.0,0.078125
557,27850,0.0078125,0.15625
558,27900,0.0,0.1171875
559,27950,0.0,0.078125
560,28000,0.0078125,0.125
561,28050,0.0,0.1484375
562,28100,0.0,0.0625
563,28150,0.0078125,0.078125
564,28200,0.0,0.140625
565,28250,0.0,0.109375
566,28300,0.0,0.1484375
567,28350,0.0,0.1484375
568,28400,0.0,0.0859375
569,28450,0.0,0.109375
570,28500,0.0,0.125
571,28550,0.0,0.09375
572,28600,0.0,0.109375
573,28650,0.0,0.1015625
574,28700,0.0,0.1015625
575,28750,0.0,0.125
576,28800,0.0,0.1328125
577,28850,0.0,0.09375
578,28900,0.03125,0.0859375
579,28950,0.0078125,0.1640625
580,29000,0.0,0.15625
581,29050,0.0,0.125
582,29100,0.0078125,0.140625
583,29150,0.0,0.078125
584,29200,0.0,0.1328125
585,29250,0.0,0.078125
586,29300,0.0,0.09375
587,29350,0.0078125,0.1328125
588,29400,0.0,0.0859375
589,29450,0.0,0.1171875
590,29500,0.015625,0.1171875
591,29550,0.0,0.125
592,29600,0.0,0.0703125
593,29650,0.0,0.0859375
594,29700,0.0,0.140625
595,29750,0.0,0.125
596,29800,0.0078125,0.109375
597,29850,0.0,0.1015625
598,29900,0.0,0.0625
599,29950,0.0078125,0.1640625
