,step,train_error,validation_error
381,19050,0.0078125,0.125
382,19100,0.0,0.109375
383,19150,0.0,0.109375
384,19200,0.0,0.1171875
385,19250,0.0,0.09375
386,19300,0.0,0.140625
387,19350,0.0078125,0.1328125
388,19400,0.0078125,0.09375
389,19450,0.0078125,0.1171875
390,19500,0.0,0.1484375
391,19550,0.0,0.1328125
392,19600,0.0,0.1171875
393,19650,0.0,0.1328125
394,19700,0.0,0.109375
395,19750,0.0078125,0.1640625
396,19800,0.0,0.078125
397,19850,0.0078125,0.1328125
398,19900,0.0,0.125
399,19950,0.0,0.078125
400,20000,0.0,0.1015625
401,20050,0.0078125,0.109375
402,20100,0.0078125,0.109375
403,20150,0.0,0.15625
404,20200,0.015625,0.1015625
405,20250,0.0,0.1015625
406,20300,0.0,0.125
407,20350,0.0,0.0625
408,20400,0.0,0.1015625
409,20450,0.0078125,0.125
410,20500,0.0078125,0.1328125
411,20550,0.0078125,0.09375
412,20600,0.0078125,0.109375
413,20650,0.0,0.15625
414,20700,0.0078125,0.1484375
415,20750,0.0,0.1171875
416,20800,0.0,0.109375
417,20850,0.0,0.078125
418,20900,0.0078125,0.125
419,20950,0.0,0.125
420,21000,0.0,0.109375
421,21050,0.0,0.1328125
422,21100,0.0,0.078125
423,21150,0.0078125,0.1640625
424,21200,0.015625,0.15625
425,21250,0.0,0.0859375
426,21300,0.0,0.1328125
427,21350,0.015625,0.0703125
428,21400,0.0,0.078125
429,21450,0.0,0.0703125
430,21500,0.015625,0.125
431,21550,0.0,0.1171875
432,21600,0.0,0.1328125
433,21650,0.015625,0.109375
434,21700,0.0,0.1015625
435,21750,0.0,0.0703125
436,21800,0.015625,0.1171875
437,21850,0.0,0.09375
438,21900,0.0,0.1015625
439,21950,0.0,0.0859375
440,22000,0.0078125,0.1015625
441,22050,0.0,0.0859375
442,22100,0.0078125,0.140625
443,22150,0.0,0.0703125
444,22200,0.0078125,0.109375
445,22250,0.0,0.109375
446,22300,0.0078125,0.1328125
447,22350,0.0078125,0.0859375
448,22400,0.0,0.1171875
449,22450,0.0,0.1640625
450,22500,0.015625,0.125
451,22550,0.0,0.09375
452,22600,0.0,0.0859375
453,22650,0.0,0.078125
454,22700,0.0,0.078125
455,22750,0.0,0.109375
